Search Rank,z_Keyword Density (%),z_Readability Score,z_Caption Length,z_Hashtag Count,z_Hashtag Type,z_Post Timing,z_Sentiment Score,z_Caption Format,z_CTA Presence,z_Emphasis Style (%)
1,-0.3443092841163311,0.7824111200213846,-0.03303684879288434,0.6327913279132792,-0.42572741194486985,0.8273888994850278,1.4523693209574988,-0.057915057915057536,1.7344110854503465,-0.3500173792144595
2,2.8338227069351234,-0.27719860999732704,0.602287166454892,-0.872779283348389,-0.42572741194486985,-0.4651916841502956,1.613580850024426,-0.057915057915057536,1.7344110854503465,-0.602711157455683
3,0.4778383668903803,-0.9232825447741249,1.3646759847522236,0.030563083408611906,0.339969372128637,-0.25100133511348477,-0.19394235466536394,-0.057915057915057536,-0.5750577367205543,-0.3368091762252346
4,-0.3443092841163311,0.3611333867949744,-0.22363405336721726,-0.1199939777175549,0.339969372128637,-0.8765973679191302,1.0542256961406937,-0.057915057915057536,-0.5750577367205543,-0.6009732360097323
5,3.6503775167785237,0.37957765303394825,-0.3506988564167725,-0.5716651610960554,0.339969372128637,1.0871638374976156,-0.5017098192476795,-0.057915057915057536,-0.5750577367205543,1.1828293361140076
6,-0.3443092841163311,1.8075380914194066,-0.6683608640406608,-0.7222222222222221,0.339969372128637,1.182719816898722,-1.5227161700048852,-0.057915057915057536,-0.5750577367205543,2.637817170663886
7,1.8061381431767338,0.29136594493450946,0.03049555273189329,0.9339054501656128,1.105666156202144,-0.08792675948884232,-0.5017098192476795,7.6640926640926645,1.7344110854503465,-0.30344108446298224
8,1.8061381431767338,0.29136594493450946,0.03049555273189329,0.9339054501656128,1.105666156202144,0.5212664505054359,-0.5017098192476795,7.6640926640926645,-0.5750577367205543,-0.30344108446298224
9,-0.3443092841163311,1.0256615878107456,-0.3506988564167725,-0.2705510388437217,0.339969372128637,0.5227922944878886,-0.5017098192476795,-0.057915057915057536,-0.5750577367205543,2.637817170663886
10,-0.3443092841163311,0.3691526329858328,-0.4777636594663278,-0.1199939777175549,0.339969372128637,1.1647911501049015,-0.5017098192476795,-0.057915057915057536,-0.5750577367205543,-0.5898505387556482
11,-0.3443092841163311,1.322106388666132,-0.41423125794155014,-0.2705510388437217,0.339969372128637,0.722868586687011,-0.5017098192476795,-0.057915057915057536,-0.5750577367205543,2.637817170663886
12,-0.3443092841163311,1.1879176690724407,-0.5412960609911054,-0.2705510388437217,0.339969372128637,1.2817089452603467,-0.5017098192476795,-0.057915057915057536,-0.5750577367205543,2.637817170663886
13,-0.3443092841163311,0.9465383587276129,-0.09656925031766198,-0.4211080999698885,0.339969372128637,1.5378600038146097,-0.5017098192476795,-0.057915057915057536,1.7344110854503465,-0.28501911713590544
14,-0.3443092841163311,0.23122159850307403,-0.2871664548919949,-0.2705510388437217,-0.42572741194486985,-0.5781041388518025,1.3766487542745482,-0.057915057915057536,-0.5750577367205543,2.637817170663886
15,-0.3443092841163311,1.3485699010959638,-0.3506988564167725,-0.4211080999698885,0.339969372128637,-0.5065802021743278,1.432828529555447,-0.057915057915057536,-0.5750577367205543,2.005908932916232
16,-0.3443092841163311,-1.405773857257418,-0.795425667090216,-0.5716651610960554,-1.1914241960183767,-0.4581346557314513,-0.5017098192476795,-0.057915057915057536,-0.5750577367205543,2.637817170663886
17,-0.3443092841163311,0.7409783480352847,-0.09656925031766198,-0.1199939777175549,-1.1914241960183767,0.3984360099179856,-0.5017098192476795,-0.057915057915057536,-0.5750577367205543,-0.4720194647201947
18,-0.3443092841163311,-1.405773857257418,-0.795425667090216,-0.1199939777175549,0.339969372128637,0.8617203890902156,-1.0537371763556425,-0.057915057915057536,-0.5750577367205543,2.637817170663886
19,-0.3443092841163311,-1.405773857257418,-0.795425667090216,-0.1199939777175549,0.339969372128637,-0.5948884226587831,-0.5017098192476795,-0.057915057915057536,-0.5750577367205543,2.637817170663886
